지출,40001,259000,국민 카드,1,2020-10-17
수입,30001,108000,현대 카드,1,2020-06-07
수입,30001,910000,비씨 카드,1,2020-04-27
지출,40004,598000,현대 카드,1,2020-08-23
지출,40003,992000,카카오 카드,1,2020-12-16
수입,30001,785000,국민 카드,1,2020-11-09
지출,40001,757000,농협 카드,1,2020-06-21
수입,30002,486000,우리 카드,1,2020-03-24
수입,30001,127000,우리 카드,1,2020-05-17
지출,40002,124000,신한 카드,1,2020-11-11
지출,40005,714000,카카오 카드,1,2020-10-15
지출,40005,688000,비씨 카드,1,2020-04-03
지출,40006,103000,카카오 카드,1,2020-05-09
지출,40002,438000,카카오 카드,1,2020-10-20
수입,30001,31000,국민 카드,1,2020-10-13
수입,30002,401000,신한 카드,1,2020-03-22
수입,30003,663000,우리 카드,1,2020-12-16
수입,30002,870000,농협 카드,1,2020-12-14
수입,30002,163000,신한 카드,1,2020-02-01
수입,30003,963000,농협 카드,1,2020-00-06
지출,40006,518000,농협 카드,1,2020-09-27
지출,40004,140000,농협 카드,1,2020-09-07
지출,40004,478000,우리 카드,1,2020-04-19
지출,40005,42000,국민 카드,1,2020-07-07
지출,40002,39000,농협 카드,1,2020-06-05
수입,30001,900000,신한 카드,1,2020-12-03
수입,30001,30000,농협 카드,1,2020-00-05
지출,40001,171000,신한 카드,1,2020-08-22
지출,40006,926000,신한 카드,1,2020-02-06
지출,40002,465000,국민 카드,1,2020-11-04
지출,40001,477000,국민 카드,1,2020-04-17
수입,30003,45000,카카오 카드,1,2020-03-09
수입,30002,411000,신한 카드,1,2020-07-02
수입,30002,354000,국민 카드,1,2020-07-27
지출,40001,742000,신한 카드,1,2020-10-03
수입,30003,650000,비씨 카드,1,2020-00-25
지출,40003,672000,비씨 카드,1,2020-00-13
수입,30003,66000,카카오 카드,1,2020-07-19
지출,40006,924000,농협 카드,1,2020-11-08
지출,40007,915000,현대 카드,1,2020-00-20
수입,30003,547000,카카오 카드,1,2020-02-22
수입,30001,432000,농협 카드,1,2020-01-15
수입,30003,144000,농협 카드,1,2020-11-26
수입,30001,893000,국민 카드,1,2020-00-19
지출,40001,449000,비씨 카드,1,2020-00-17
수입,30001,529000,신한 카드,1,2020-02-23
수입,30002,347000,카카오 카드,1,2020-02-03
지출,40004,850000,신한 카드,1,2020-00-12
지출,40007,922000,우리 카드,1,2020-09-15
수입,30002,448000,국민 카드,1,2020-09-14
지출,40006,484000,신한 카드,1,2020-03-03
지출,40004,869000,카카오 카드,1,2020-01-29
지출,40003,478000,농협 카드,1,2020-07-18
수입,30002,8000,신한 카드,1,2020-10-22
수입,30002,14000,현대 카드,1,2020-07-25
수입,30003,395000,우리 카드,1,2020-07-23
수입,30003,302000,현대 카드,1,2020-06-30
지출,40005,474000,현대 카드,1,2020-08-28
수입,30001,140000,농협 카드,1,2020-04-10
수입,30003,135000,국민 카드,1,2020-01-10
지출,40004,592000,우리 카드,1,2020-01-28
지출,40007,685000,신한 카드,1,2020-07-26
수입,30003,376000,우리 카드,1,2020-00-22
수입,30002,184000,농협 카드,1,2020-03-28
지출,40007,581000,비씨 카드,1,2020-04-11
수입,30002,137000,카카오 카드,1,2020-07-07
수입,30003,714000,카카오 카드,1,2020-03-21
수입,30001,321000,농협 카드,1,2020-09-17
지출,40001,372000,우리 카드,1,2020-08-15
수입,30002,350000,우리 카드,1,2020-02-25
수입,30003,622000,우리 카드,1,2020-03-19
지출,40003,752000,국민 카드,1,2020-10-22
수입,30001,776000,비씨 카드,1,2020-11-25
수입,30002,851000,국민 카드,1,2020-07-20
수입,30002,599000,국민 카드,1,2020-03-19
지출,40002,463000,신한 카드,1,2020-03-29
수입,30001,443000,비씨 카드,1,2020-04-06
수입,30002,581000,국민 카드,1,2020-00-09
지출,40003,29000,신한 카드,1,2020-11-07
수입,30002,182000,국민 카드,1,2020-03-11
수입,30001,370000,농협 카드,1,2020-01-16
수입,30003,652000,카카오 카드,1,2020-01-09
수입,30002,515000,국민 카드,1,2020-03-28
지출,40003,482000,비씨 카드,1,2020-11-03
수입,30002,977000,비씨 카드,1,2020-04-07
지출,40006,252000,국민 카드,1,2020-12-28
지출,40005,502000,비씨 카드,1,2020-02-28
지출,40005,457000,국민 카드,1,2020-06-24
지출,40004,298000,비씨 카드,1,2020-10-21
수입,30002,204000,신한 카드,1,2020-01-20
수입,30002,721000,신한 카드,1,2020-05-25
지출,40005,129000,신한 카드,1,2020-07-19
지출,40007,312000,비씨 카드,1,2020-11-01
수입,30001,119000,농협 카드,1,2020-06-17
수입,30001,314000,카카오 카드,1,2020-12-26
지출,40004,568000,국민 카드,1,2020-08-24
수입,30003,786000,국민 카드,1,2020-02-08
수입,30002,600000,현대 카드,1,2020-12-30
지출,40006,423000,국민 카드,1,2020-08-25
수입,30003,822000,카카오 카드,1,2020-09-28
지출,40006,473000,우리 카드,1,2020-00-01
지출,40002,562000,현대 카드,1,2020-01-12
수입,30001,538000,우리 카드,1,2020-04-13
수입,30003,344000,우리 카드,1,2020-08-20
지출,40004,88000,비씨 카드,1,2020-09-10
지출,40003,625000,카카오 카드,1,2020-09-07
수입,30002,206000,비씨 카드,1,2020-07-09
수입,30002,504000,비씨 카드,1,2020-12-29
지출,40004,481000,우리 카드,1,2020-05-03
지출,40001,674000,농협 카드,1,2020-10-21
지출,40005,542000,현대 카드,1,2020-11-03
수입,30002,921000,현대 카드,1,2020-07-14
지출,40002,437000,우리 카드,1,2020-12-21
지출,40003,18000,비씨 카드,1,2020-00-30
수입,30002,83000,카카오 카드,1,2020-08-26
수입,30001,401000,신한 카드,1,2020-05-18
수입,30002,100000,카카오 카드,1,2020-05-16
수입,30001,277000,카카오 카드,1,2020-09-26
수입,30003,972000,현대 카드,1,2020-03-03
수입,30003,252000,비씨 카드,1,2020-04-10
지출,40001,998000,신한 카드,1,2020-07-06
수입,30002,828000,우리 카드,1,2020-12-17
수입,30001,392000,우리 카드,1,2020-12-12
지출,40001,211000,우리 카드,1,2020-06-10
지출,40007,502000,우리 카드,1,2020-03-17
지출,40006,11000,국민 카드,1,2020-00-05
지출,40007,667000,국민 카드,1,2020-05-17
수입,30001,23000,카카오 카드,1,2020-12-14
수입,30002,206000,카카오 카드,1,2020-05-23
지출,40005,409000,신한 카드,1,2020-07-16
지출,40004,611000,우리 카드,1,2020-08-26
지출,40005,150000,우리 카드,1,2020-02-28
수입,30002,664000,농협 카드,1,2020-09-27
수입,30003,685000,카카오 카드,1,2020-06-26
지출,40001,243000,현대 카드,1,2020-04-17
지출,40005,968000,현대 카드,1,2020-12-26
수입,30001,316000,카카오 카드,1,2020-08-11
수입,30002,331000,농협 카드,1,2020-00-01
수입,30001,894000,신한 카드,1,2020-09-03
수입,30002,167000,카카오 카드,1,2020-08-29
지출,40006,934000,우리 카드,1,2020-01-28
수입,30003,12000,국민 카드,1,2020-01-26
수입,30003,616000,우리 카드,1,2020-00-27
수입,30003,746000,비씨 카드,1,2020-11-06
지출,40004,715000,비씨 카드,1,2020-01-10
수입,30002,810000,농협 카드,1,2020-01-14
지출,40005,611000,국민 카드,1,2020-06-22
지출,40005,698000,비씨 카드,1,2020-01-22
지출,40004,641000,우리 카드,1,2020-12-27
수입,30002,441000,비씨 카드,1,2020-10-22
지출,40003,773000,비씨 카드,1,2020-01-29
지출,40007,39000,비씨 카드,1,2020-11-06
수입,30003,805000,신한 카드,1,2020-00-10
지출,40001,267000,신한 카드,1,2020-01-12
수입,30001,889000,카카오 카드,1,2020-07-21
지출,40003,821000,신한 카드,1,2020-00-08
지출,40003,922000,카카오 카드,1,2020-04-08
수입,30001,406000,현대 카드,1,2020-06-17
수입,30002,814000,신한 카드,1,2020-06-08
수입,30001,421000,현대 카드,1,2020-08-10
지출,40002,556000,카카오 카드,1,2020-12-09
수입,30001,687000,농협 카드,1,2020-12-30
수입,30001,911000,우리 카드,1,2020-00-13
수입,30002,874000,국민 카드,1,2020-01-12
지출,40007,497000,카카오 카드,1,2020-04-18
수입,30003,613000,신한 카드,1,2020-04-08
지출,40005,30000,카카오 카드,1,2020-12-27
지출,40005,542000,현대 카드,1,2020-00-20
수입,30002,4000,카카오 카드,1,2020-01-23
수입,30001,556000,카카오 카드,1,2020-04-17
지출,40002,127000,카카오 카드,1,2020-07-26
지출,40007,313000,농협 카드,1,2020-04-29
지출,40001,537000,우리 카드,1,2020-12-28
수입,30002,341000,카카오 카드,1,2020-05-19
수입,30002,637000,카카오 카드,1,2020-03-28
수입,30001,611000,신한 카드,1,2020-04-02
지출,40001,714000,농협 카드,1,2020-08-12
수입,30002,293000,현대 카드,1,2020-05-26
수입,30002,866000,농협 카드,1,2020-05-02
지출,40006,379000,국민 카드,1,2020-06-16
지출,40004,125000,신한 카드,1,2020-10-05
지출,40001,813000,국민 카드,1,2020-10-04
지출,40006,905000,우리 카드,1,2020-11-19
지출,40001,21000,카카오 카드,1,2020-03-02
수입,30002,415000,현대 카드,1,2020-04-28
지출,40001,557000,국민 카드,1,2020-03-19
지출,40004,33000,우리 카드,1,2020-09-12
수입,30001,338000,우리 카드,1,2020-02-12
지출,40007,925000,신한 카드,1,2020-12-20
수입,30001,553000,농협 카드,1,2020-01-08
수입,30002,264000,카카오 카드,1,2020-08-03
수입,30002,948000,현대 카드,1,2020-06-30
수입,30003,362000,현대 카드,1,2020-06-24
수입,30003,292000,신한 카드,1,2020-00-01
수입,30002,586000,비씨 카드,1,2020-12-18
지출,40006,883000,카카오 카드,1,2020-02-03
수입,30003,273000,농협 카드,1,2020-07-07
수입,30003,357000,카카오 카드,1,2020-12-02
수입,30003,959000,우리 카드,1,2020-02-09
지출,40005,915000,국민 카드,1,2020-07-15
지출,40004,468000,농협 카드,1,2020-00-18
수입,30003,134000,국민 카드,1,2020-03-01
지출,40004,804000,농협 카드,1,2020-05-07
수입,30001,502000,비씨 카드,1,2020-04-11
지출,40002,225000,현대 카드,1,2020-08-23
지출,40004,29000,현대 카드,1,2020-08-30
수입,30003,230000,우리 카드,1,2020-00-11
수입,30002,542000,국민 카드,1,2020-11-09
수입,30001,881000,농협 카드,1,2020-11-11
지출,40001,490000,국민 카드,1,2020-10-09
수입,30002,456000,카카오 카드,1,2020-09-11
수입,30003,414000,국민 카드,1,2020-12-15
지출,40006,377000,국민 카드,1,2020-06-26
수입,30001,122000,카카오 카드,1,2020-07-16
지출,40004,954000,비씨 카드,1,2020-06-26
지출,40006,516000,비씨 카드,1,2020-12-12
지출,40003,119000,국민 카드,1,2020-05-17
수입,30002,89000,현대 카드,1,2020-12-17
지출,40001,326000,국민 카드,1,2020-04-27
지출,40001,739000,비씨 카드,1,2020-02-12
수입,30002,682000,현대 카드,1,2020-00-05
지출,40003,632000,국민 카드,1,2020-02-04
수입,30003,465000,신한 카드,1,2020-11-13
지출,40005,426000,우리 카드,1,2020-05-25
지출,40005,928000,농협 카드,1,2020-11-01
